"season","team","conference","statName","statValue"
2024,"Air Force","Mountain West","firstDowns",215
2024,"Air Force","Mountain West","firstDownsOpponent",204
2024,"Air Force","Mountain West","fourthDownConversions",23
2024,"Air Force","Mountain West","fourthDownConversionsOpponent",15
2024,"Air Force","Mountain West","fourthDowns",36
2024,"Air Force","Mountain West","fourthDownsOpponent",27
2024,"Air Force","Mountain West","fumblesLost",5
2024,"Air Force","Mountain West","fumblesLostOpponent",8
2024,"Air Force","Mountain West","fumblesRecovered",8
2024,"Air Force","Mountain West","fumblesRecoveredOpponent",5
2024,"Air Force","Mountain West","games",12
2024,"Air Force","Mountain West","interceptions",10
2024,"Air Force","Mountain West","interceptionsOpponent",4
2024,"Air Force","Mountain West","interceptionTDs",0
2024,"Air Force","Mountain West","interceptionTDsOpponent",0
2024,"Air Force","Mountain West","interceptionYards",80
2024,"Air Force","Mountain West","interceptionYardsOpponent",149
2024,"Air Force","Mountain West","kickReturns",5
2024,"Air Force","Mountain West","kickReturnsOpponent",19
2024,"Air Force","Mountain West","kickReturnTDs",0
2024,"Air Force","Mountain West","kickReturnTDsOpponent",0
2024,"Air Force","Mountain West","kickReturnYards",73
2024,"Air Force","Mountain West","kickReturnYardsOpponent",365
2024,"Air Force","Mountain West","netPassingYards",1077
2024,"Air Force","Mountain West","netPassingYardsOpponent",2262
2024,"Air Force","Mountain West","passAttempts",138
2024,"Air Force","Mountain West","passAttemptsOpponent",289
2024,"Air Force","Mountain West","passCompletions",62
2024,"Air Force","Mountain West","passCompletionsOpponent",187
2024,"Air Force","Mountain West","passesIntercepted",4
2024,"Air Force","Mountain West","passesInterceptedOpponent",10
2024,"Air Force","Mountain West","passingTDs",5
2024,"Air Force","Mountain West","passingTDsOpponent",12
2024,"Air Force","Mountain West","penalties",36
2024,"Air Force","Mountain West","penaltiesOpponent",63
2024,"Air Force","Mountain West","penaltyYards",336
2024,"Air Force","Mountain West","penaltyYardsOpponent",581
2024,"Air Force","Mountain West","possessionTime",24457
2024,"Air Force","Mountain West","possessionTimeOpponent",18743
2024,"Air Force","Mountain West","puntReturns",8
2024,"Air Force","Mountain West","puntReturnsOpponent",12
2024,"Air Force","Mountain West","puntReturnTDs",0
2024,"Air Force","Mountain West","puntReturnTDsOpponent",1
2024,"Air Force","Mountain West","puntReturnYards",42
2024,"Air Force","Mountain West","puntReturnYardsOpponent",165
2024,"Air Force","Mountain West","rushingAttempts",668
2024,"Air Force","Mountain West","rushingAttemptsOpponent",401
2024,"Air Force","Mountain West","rushingTDs",24
2024,"Air Force","Mountain West","rushingTDsOpponent",23
2024,"Air Force","Mountain West","rushingYards",2696
2024,"Air Force","Mountain West","rushingYardsOpponent",1845
2024,"Air Force","Mountain West","sacks",18
2024,"Air Force","Mountain West","sacksOpponent",17
2024,"Air Force","Mountain West","tacklesForLoss",52
2024,"Air Force","Mountain West","tacklesForLossOpponent",59
2024,"Air Force","Mountain West","thirdDownConversions",78
2024,"Air Force","Mountain West","thirdDownConversionsOpponent",52
2024,"Air Force","Mountain West","thirdDowns",184
2024,"Air Force","Mountain West","thirdDownsOpponent",140
2024,"Air Force","Mountain West","totalYards",3773
2024,"Air Force","Mountain West","totalYardsOpponent",4107
2024,"Air Force","Mountain West","turnovers",15
2024,"Air Force","Mountain West","turnoversOpponent",12
2024,"Akron","Mid-American","firstDowns",215
2024,"Akron","Mid-American","firstDownsOpponent",244
2024,"Akron","Mid-American","fourthDownConversions",5
2024,"Akron","Mid-American","fourthDownConversionsOpponent",15
2024,"Akron","Mid-American","fourthDowns",16
2024,"Akron","Mid-American","fourthDownsOpponent",26
2024,"Akron","Mid-American","fumblesLost",10
2024,"Akron","Mid-American","fumblesLostOpponent",7
2024,"Akron","Mid-American","fumblesRecovered",7
2024,"Akron","Mid-American","fumblesRecoveredOpponent",10
2024,"Akron","Mid-American","games",12
2024,"Akron","Mid-American","interceptions",10
2024,"Akron","Mid-American","interceptionsOpponent",3
2024,"Akron","Mid-American","interceptionTDs",0
2024,"Akron","Mid-American","interceptionTDsOpponent",1
2024,"Akron","Mid-American","interceptionYards",27
2024,"Akron","Mid-American","interceptionYardsOpponent",84
2024,"Akron","Mid-American","kickReturns",25
2024,"Akron","Mid-American","kickReturnsOpponent",15
2024,"Akron","Mid-American","kickReturnTDs",0
2024,"Akron","Mid-American","kickReturnTDsOpponent",0
2024,"Akron","Mid-American","kickReturnYards",395
2024,"Akron","Mid-American","kickReturnYardsOpponent",294
2024,"Akron","Mid-American","netPassingYards",2790
2024,"Akron","Mid-American","netPassingYardsOpponent",2780
2024,"Akron","Mid-American","passAttempts",420
2024,"Akron","Mid-American","passAttemptsOpponent",343
2024,"Akron","Mid-American","passCompletions",234
2024,"Akron","Mid-American","passCompletionsOpponent",221
2024,"Akron","Mid-American","passesIntercepted",3
2024,"Akron","Mid-American","passesInterceptedOpponent",10
2024,"Akron","Mid-American","passingTDs",16
2024,"Akron","Mid-American","passingTDsOpponent",24
2024,"Akron","Mid-American","penalties",76
2024,"Akron","Mid-American","penaltiesOpponent",80
2024,"Akron","Mid-American","penaltyYards",584
2024,"Akron","Mid-American","penaltyYardsOpponent",641
2024,"Akron","Mid-American","possessionTime",20556
2024,"Akron","Mid-American","possessionTimeOpponent",22644
2024,"Akron","Mid-American","puntReturns",8
2024,"Akron","Mid-American","puntReturnsOpponent",16
2024,"Akron","Mid-American","puntReturnTDs",2
2024,"Akron","Mid-American","puntReturnTDsOpponent",0
2024,"Akron","Mid-American","puntReturnYards",27
2024,"Akron","Mid-American","puntReturnYardsOpponent",147
2024,"Akron","Mid-American","rushingAttempts",342
