"id","season","week","seasonType","startTime","gameIndoors","homeTeam","homeConference","awayTeam","awayConference","venueId","venue","temperature","dewPoint","humidity","precipitation","snowfall","windDirection","windSpeed","pressure","weatherConditionCode","weatherCondition"
401636607,2024,1,"regular","2024-08-30T01:00:00.000Z",FALSE,"Utah","Big 12","Southern Utah","UAC",587,"Rice-Eccles Stadium",76.5,29.5,18,0,0,329,5.8,1017.2,2,"Fair"
401643775,2024,1,"regular","2024-08-31T21:00:00.000Z",FALSE,"South Alabama","Sun Belt","North Texas","American Athletic",6526,"Hancock Whitney Stadium",85.6,72.5,65,0,0,113,9.2,1015.2,2,"Fair"
401654845,2024,1,"regular","2024-08-30T01:00:00.000Z",FALSE,"Illinois","Big Ten","Eastern Illinois","Big South-OVC",3832,"Memorial Stadium (Champaign, IL)",78.1,73.9,87,0,0,120,4.7,1017.1,0,NA
401628328,2024,1,"regular","2024-08-30T23:00:00.000Z",FALSE,"Oklahoma","SEC","Temple","American Athletic",3835,"Memorial Stadium (Norman, OK)",83.8,64.9,53,0,0,50,9.2,1016.3,3,"Cloudy"
401643698,2024,1,"regular","2024-08-30T02:00:00.000Z",FALSE,"San José State","Mountain West","Sacramento State","Big Sky",3935,"CEFCU Stadium",84.9,49.1,29,0,0,329,9.8,1013.1,0,NA
401628453,2024,1,"regular","2024-08-30T23:00:00.000Z",FALSE,"Michigan State","Big Ten","Florida Atlantic","American Athletic",3936,"Spartan Stadium",78.3,71.2,79,0,0,261,11.9,1013,0,NA
401641032,2024,1,"regular","2024-09-01T01:00:00.000Z",FALSE,"New Mexico State","Conference USA","Southeast Missouri State","Big South-OVC",3601,"Aggie Memorial Stadium",81.7,60.8,49,0,0,92,4,1013.9,0,NA
401645319,2024,1,"regular","2024-08-30T22:00:00.000Z",FALSE,"Army","American Athletic","Lehigh","Patriot",3841,"Michie Stadium",75.6,69.6,82,0,0,163,7.1,1016.9,0,NA
401643858,2024,1,"regular","2024-08-25T03:59:00.000Z",FALSE,"Hawai'i","Mountain West","Delaware State","MEAC",7220,"Clarence T.C. Ching Athletics Complex",77.9,70.9,79,0,0,57,32.7,1015,3,"Cloudy"
401636608,2024,1,"regular","2024-09-01T02:30:00.000Z",FALSE,"Arizona","Big 12","New Mexico","Mountain West",3619,"Arizona Stadium",87.3,51.3,29,0,0,259,6.9,1010.6,1,"Clear"
401628460,2024,1,"regular","2024-09-01T03:00:00.000Z",FALSE,"Washington","Big Ten","Weber State","Big Sky",3765,"Husky Stadium",78.6,55,44,0,0,334,10.4,1013.8,2,"Fair"
401645316,2024,1,"regular","2024-08-30T00:00:00.000Z",FALSE,"UAB","American Athletic","Alcorn State","SWAC",7221,"Protective Stadium",89.4,69.1,51,0,0,178,6.9,1017,3,"Cloudy"
401636609,2024,1,"regular","2024-09-01T02:30:00.000Z",FALSE,"Arizona State","Big 12","Wyoming","Mountain West",3947,"Mountain America Stadium",94.8,51.3,23,0,0,279,9.2,1007,2,"Fair"
401628459,2024,1,"regular","2024-08-31T23:30:00.000Z",FALSE,"Hawai'i","Mountain West","UCLA","Big Ten",7220,"Clarence T.C. Ching Athletics Complex",87.4,74.7,66,0,0,103,12.7,1015.3,3,"Cloudy"
401634197,2024,1,"regular","2024-08-31T19:30:00.000Z",FALSE,"Iowa State","Big 12","North Dakota","MVFC",3772,"Jack Trice Stadium",78.6,57.4,48,0,0,251,4.9,1019.7,0,NA
401634302,2024,1,"regular","2024-09-01T00:00:00.000Z",FALSE,"Georgia Tech","ACC","Georgia State","Sun Belt",721,"Bobby Dodd Stadium",76.6,72.1,86,0,0,92,2,1014.5,3,"Cloudy"
401634303,2024,1,"regular","2024-09-01T00:00:00.000Z",FALSE,"SMU","ACC","Houston Christian","Southland",3735,"Gerald J. Ford Stadium",90.7,67.6,47,0,0,65,8.5,1013.5,0,NA
401628461,2024,1,"regular","2024-08-31T01:00:00.000Z",FALSE,"Wisconsin","Big Ten","Western Michigan","Mid-American",347,"Camp Randall Stadium",73.2,58.5,60,0,0,298,7.4,1014.5,0,NA
401634304,2024,1,"regular","2024-08-31T19:30:00.000Z",TRUE,"Syracuse","ACC","Ohio","Mid-American",1964,"JMA Wireless Dome",73.6,60.6,64,0,0,273,10.4,1013.9,18,"Heavy Rain Shower"
401641023,2024,1,"regular","2024-08-31T23:00:00.000Z",FALSE,"Middle Tennessee","Conference USA","Tennessee Tech","Big South-OVC",3725,"Johnny ""Red"" Floyd Stadium",92.5,68.7,46,0,0,313,5.3,1015,0,NA
401634305,2024,1,"regular","2024-08-31T16:00:00.000Z",FALSE,"Pittsburgh","ACC","Kent State","Mid-American",3752,"Acrisure Stadium",78.4,65.8,65,0,0,288,6.9,1018.2,3,"Cloudy"
401644731,2024,1,"regular","2024-08-31T19:30:00.000Z",FALSE,"Northern Illinois","Mid-American","Western Illinois","Big South-OVC",3764,"Huskie Stadium",77.9,57.2,49,0,0,300,7.4,1017.9,0,NA
401628591,2024,1,"regular","2024-08-31T18:30:00.000Z",FALSE,"Cincinnati","Big 12","Towson","CAA",3854,"Nippert Stadium",84.9,64.2,50,0,0,270,6.9,1017.2,3,"Cloudy"
401628455,2024,1,"regular","2024-08-31T19:30:00.000Z",FALSE,"Ohio State","Big Ten","Akron","Mid-American",3861,"Ohio Stadium",83.3,58.5,43,0,0,324,7.4,1014.9,0,NA
401632062,2024,1,"regular","2024-08-31T16:00:00.000Z",FALSE,"Louisville","ACC","Austin Peay","UAC",3873,"L&N Federal Credit Union Stadium",83.8,66.9,57,0,0,324,5.8,1018.5,3,"Cloudy"
401636363,2024,1,"regular","2024-08-31T23:00:00.000Z",FALSE,"South Florida","American Athletic","Bethune-Cookman","SWAC",3886,"Raymond James Stadium",83.1,73.6,73,0,0,107,5.8,1015.1,18,"Heavy Rain Shower"
401643704,2024,1,"regular","2024-08-31T22:30:00.000Z",FALSE,"Oregon State","Pac-12","Idaho State","Big Sky",3893,"Reser Stadium",75,54,48,0,0,134,1.6,1014.2,0,NA
401641039,2024,1,"regular","2024-08-31T23:00:00.000Z",FALSE,"Rice","American Athletic","Sam Houston","Conference USA",3895,"Rice Stadium",84,76.1,77,0,0,62,7.6,1015.2,0,NA
401643703,2024,1,"regular","2024-08-31T04:00:00.000Z",FALSE,"Utah State","Mountain West","Robert Morris","NEC",3905,"Maverik Stadium",57,34.7,43,0,0,117,2,1016.4,0,NA
401634169,2024,1,"regular","2024-08-31T16:00:00.000Z",FALSE,"Purdue","Big Ten","Indiana State","MVFC",3907,"Ross-Ade Stadium",79.7,58.3,48,0,0,323,7.8,1017.2,0,NA
401628331,2024,1,"regular","2024-08-31T19:30:00.000Z",FALSE,"Texas","SEC","Colorado State","Mountain West",3910,"DKR-Texas Memorial Stadium",91.8,68.2,46,0,0,351,5.8,1012.7,3,"Cloudy"
401628589,2024,1,"regular","2024-08-31T22:00:00.000Z",FALSE,"Virginia","ACC","Richmond","CAA",3923,"Scott Stadium",82,70.9,69,0,0,256,5.8,1013,0,NA
401634300,2024,1,"regular","2024-08-31T02:30:00.000Z",FALSE,"Stanford","ACC","TCU","Big 12",3940,"Stanford Stadium",72.7,61.9,69,0,0,328,13.9,1015.2,0,NA
401628333,2024,1,"regular","2024-08-31T16:00:00.000Z",FALSE,"Vanderbilt","SEC","Virginia Tech","ACC",3973,"FirstBank Stadium",87.3,68,53,0,0,307,4.6,1017.9,3,"Cloudy"
401628325,2024,1,"regular","2024-08-31T23:00:00.000Z",FALSE,"Ole Miss","SEC","Furman","Southern",3974,"Vaught-Hemingway Stadium",93,68.5,45,0,0,325,3.8,1015.5,0,NA
401643696,2024,1,"regular","2024-08-25T00:00:00.000Z",FALSE,"Nevada","Mountain West","SMU","ACC",3816,"Mackay Stadium",49.3,39.2,68,0,0,300,7,1019.3,7,"Light Rain"
401643774,2024,1,"regular","2024-09-01T00:00:00.000Z",FALSE,"Charlotte","American Athletic","James Madison","Sun Belt",4418,"Jerry Richardson Stadium",77.2,75,93,0,0,115,2.9,1014.5,3,"Cloudy"
401629039,2024,1,"regular","2024-08-31T19:30:00.000Z",FALSE,"Massachusetts","FBS Independents","Eastern Michigan","Mid-American",3985,"Warren McGuirk Alumni Stadium",73.9,70.5,89,0,0,184,4.9,1014.7,0,NA
401635525,2024,1,"regular","2024-08-24T16:00:00.000Z",FALSE,"Georgia Tech","ACC","Florida State","ACC",3504,"Aviva Stadium",60.8,45.5,57,0,0,270,19.9,1005.7,3,"Cloudy"
401643697,2024,1,"regular","2024-08-24T20:00:00.000Z",FALSE,"New Mexico","Mountain West","Montana State","Big Sky",3971,"University Stadium (NM)",88.9,49.6,26,0,0,220,5.8,1014.2,3,"Cloudy"
401628586,2024,1,"regular","2024-08-31T22:00:00.000Z",FALSE,"Liberty","Conference USA","Campbell","CAA",3992,"Williams Stadium (VA)",85.5,72,64,0,0,250,4.5,1015,0,NA
401628329,2024,1,"regular","2024-08-31T20:15:00.000Z",FALSE,"South Carolina","SEC","Old Dominion","Sun Belt",3994,"Williams-Brice Stadium",91.6,72.7,54,0,0,192,4.2,1014.7,0,NA
